js,rogalang,comment
arguments,argumenta
await,venta
break,gje deg
case,tilfelle
catch,fang
class,KLASSE
const,konst
continue,vidare
debugger,debuggar
default,vanleg
delete,fjern
do,gjer
else,elle
enum,e ein lista av verdiar
eval,køyr kode
export,send ud
extends,udvi
false,raoaradl
finally,endele
for,for kvar einaste
function,arbeidskar
if,viss
implements,love å sjå ut som
import,ta inn
in,i
instanceof,e an ein instans av
interface,koss det ska sjå ut
let,la
new,nye
null,inkje
package,pakke
private,pillefygert
protected,gjømte
public,offentle
return,spytt ud
static,stilleståane
super,græla
switch,bytta
this,deherane
throw,heilt texas
true,forrektigt
try,prøv
typeof,e an ein type av 
var,greia
void,tomt
while,imens
with,me
yield,gje
=,æ
+=,øge mæ
-=,minke mæ
*=,ganges mæ
/=,deles mæ
%=,moduleres mæ
**=,eksponensieres mæ
<<=,venstreskiftes mæ
>>=,høgreskiftes mæ
>>>=,høgreskiftes usignert mæ
&=,bedevis AO mæ
^=,bedevis INKJE mæ
|=,bedevis ELLE mæ
&&=,AO mæ
||=,ELLE mæ
??=,njaast mæ
+,aog mæ 
-,ta i frå
*,gange me
/,delt me
%,rest frå deling på
++,aog mæ ein
--,trekk frå ein
==,likt mæ
===,græla likt mæ
!=,græla ulikt
!==,ulikt
>,græla større enn
<,græla mindre enn
>=,større enn
<=,mindre enn
&&,AO
||,ELLE
!,INKJE
&,bedevis AO
|,bedevis ELLE
^,bedevis betinga ombytting
~,bedevis INKJE
<<,venstreskift
>>,høgreskift
>>>,høgreskift usignert
?,?
:,:
console.log,sei
,herliga london
,jille
typeof,typeof
